"Frequency","Reference area","Value","Unit of measure","Breaks","Coverage","Title (tseries level)","Time Period","1927-Q1","1927-Q2","1927-Q3","1927-Q4","1928-Q1","1928-Q2","1928-Q3","1928-Q4","1929-Q1","1929-Q2","1929-Q3","1929-Q4","1930-Q1","1930-Q2","1930-Q3","1930-Q4","1931-Q1","1931-Q2","1931-Q3","1931-Q4","1932-Q1","1932-Q2","1932-Q3","1932-Q4","1933-Q1","1933-Q2","1933-Q3","1933-Q4","1934-Q1","1934-Q2","1934-Q3","1934-Q4","1935-Q1","1935-Q2","1935-Q3","1935-Q4","1936-Q1","1936-Q2","1936-Q3","1936-Q4","1937-Q1","1937-Q2","1937-Q3","1937-Q4","1938-Q1","1938-Q2","1938-Q3","1938-Q4","1939-Q1","1939-Q2","1939-Q3","1939-Q4","1940-Q1","1940-Q2","1940-Q3","1940-Q4","1941-Q1","1941-Q2","1941-Q3","1941-Q4","1942-Q1","1942-Q2","1942-Q3","1942-Q4","1943-Q1","1943-Q2","1943-Q3","1943-Q4","1944-Q1","1944-Q2","1944-Q3","1944-Q4","1945-Q1","1945-Q2","1945-Q3","1945-Q4","1946-Q1","1946-Q2","1946-Q3","1946-Q4","1947-Q1","1947-Q2","1947-Q3","1947-Q4","1948-Q1","1948-Q2","1948-Q3","1948-Q4","1949-Q1","1949-Q2","1949-Q3","1949-Q4","1950-Q1","1950-Q2","1950-Q3","1950-Q4","1951-Q1","1951-Q2","1951-Q3","1951-Q4","1952-Q1","1952-Q2","1952-Q3","1952-Q4","1953-Q1","1953-Q2","1953-Q3","1953-Q4","1954-Q1","1954-Q2","1954-Q3","1954-Q4","1955-Q1","1955-Q2","1955-Q3","1955-Q4","1956-Q1","1956-Q2","1956-Q3","1956-Q4","1957-Q1","1957-Q2","1957-Q3","1957-Q4","1958-Q1","1958-Q2","1958-Q3","1958-Q4","1959-Q1","1959-Q2","1959-Q3","1959-Q4","1960-Q1","1960-Q2","1960-Q3","1960-Q4","1961-Q1","1961-Q2","1961-Q3","1961-Q4","1962-Q1","1962-Q2","1962-Q3","1962-Q4","1963-Q1","1963-Q2","1963-Q3","1963-Q4","1964-Q1","1964-Q2","1964-Q3","1964-Q4","1965-Q1","1965-Q2","1965-Q3","1965-Q4","1966-Q1","1966-Q2","1966-Q3","1966-Q4","1967-Q1","1967-Q2","1967-Q3","1967-Q4","1968-Q1","1968-Q2","1968-Q3","1968-Q4","1969-Q1","1969-Q2","1969-Q3","1969-Q4","1970-Q1","1970-Q2","1970-Q3","1970-Q4","1971-Q1","1971-Q2","1971-Q3","1971-Q4","1972-Q1","1972-Q2","1972-Q3","1972-Q4","1973-Q1","1973-Q2","1973-Q3","1973-Q4","1974-Q1","1974-Q2","1974-Q3","1974-Q4","1975-Q1","1975-Q2","1975-Q3","1975-Q4","1976-Q1","1976-Q2","1976-Q3","1976-Q4","1977-Q1","1977-Q2","1977-Q3","1977-Q4","1978-Q1","1978-Q2","1978-Q3","1978-Q4","1979-Q1","1979-Q2","1979-Q3","1979-Q4","1980-Q1","1980-Q2","1980-Q3","1980-Q4","1981-Q1","1981-Q2","1981-Q3","1981-Q4","1982-Q1","1982-Q2","1982-Q3","1982-Q4","1983-Q1","1983-Q2","1983-Q3","1983-Q4","1984-Q1","1984-Q2","1984-Q3","1984-Q4","1985-Q1","1985-Q2","1985-Q3","1985-Q4","1986-Q1","1986-Q2","1986-Q3","1986-Q4","1987-Q1","1987-Q2","1987-Q3","1987-Q4","1988-Q1","1988-Q2","1988-Q3","1988-Q4","1989-Q1","1989-Q2","1989-Q3","1989-Q4","1990-Q1","1990-Q2","1990-Q3","1990-Q4","1991-Q1","1991-Q2","1991-Q3","1991-Q4","1992-Q1","1992-Q2","1992-Q3","1992-Q4","1993-Q1","1993-Q2","1993-Q3","1993-Q4","1994-Q1","1994-Q2","1994-Q3","1994-Q4","1995-Q1","1995-Q2","1995-Q3","1995-Q4","1996-Q1","1996-Q2","1996-Q3","1996-Q4","1997-Q1","1997-Q2","1997-Q3","1997-Q4","1998-Q1","1998-Q2","1998-Q3","1998-Q4","1999-Q1","1999-Q2","1999-Q3","1999-Q4","2000-Q1","2000-Q2","2000-Q3","2000-Q4","2001-Q1","2001-Q2","2001-Q3","2001-Q4","2002-Q1","2002-Q2","2002-Q3","2002-Q4","2003-Q1","2003-Q2","2003-Q3","2003-Q4","2004-Q1","2004-Q2","2004-Q3","2004-Q4","2005-Q1","2005-Q2","2005-Q3","2005-Q4","2006-Q1","2006-Q2","2006-Q3","2006-Q4","2007-Q1","2007-Q2","2007-Q3","2007-Q4","2008-Q1","2008-Q2","2008-Q3","2008-Q4","2009-Q1","2009-Q2","2009-Q3","2009-Q4","2010-Q1","2010-Q2","2010-Q3","2010-Q4","2011-Q1","2011-Q2","2011-Q3","2011-Q4","2012-Q1","2012-Q2","2012-Q3","2012-Q4","2013-Q1","2013-Q2","2013-Q3","2013-Q4","2014-Q1","2014-Q2","2014-Q3","2014-Q4","2015-Q1","2015-Q2","2015-Q3","2015-Q4","2016-Q1","2016-Q2","2016-Q3","2016-Q4","2017-Q1","2017-Q2","2017-Q3","2017-Q4","2018-Q1","2018-Q2","2018-Q3","2018-Q4","2019-Q1","2019-Q2","2019-Q3","2019-Q4","2020-Q1","2020-Q2","2020-Q3","2020-Q4","2021-Q1","2021-Q2","2021-Q3","2021-Q4"
"Q:Quarterly","CY:Cyprus","R:Real","628:Index, 2010 = 100",,,,"Q:CY:R:628","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.2744","54.1254","57.1872","56.5158","55.1552","54.9203","56.7429","56.7277","64.8656","66.2619","68.6454","69.6985","70.6359","71.6126","72.7588","72.2423","76.355","79.5674","81.3354","85.2321","91.4446","96.8305","99.451","100.5375","109.3745","110.1619","110.3764","106.499","103.8864","102.6155","104.2532","103.6233","101.9884","100.1073","100.056","97.9136","97.3315","93.902","93.4722","89.8505","89.5897","86.1851","86.0557","84.4816","83.6732","81.6985","80.7006","78.8814","77.7729","75.2896","74.4816","73.063","73.9266","73.0083","73.8514","73.0045","74.321","73.4364","73.1868","73.0145","73.3779","73.4635","74.6698","74.361","75.3149","73.9176","74.2231","74.411","76.1534","75.7153","76.7896","76.2045","76.7185","78.6282","78.6593","77.4396","78.5138","77.0522","76.2411",""
"Q:Quarterly","CY:Cyprus","R:Real","771:Year-on-year changes, in per cent",,,,"Q:CY:R:771","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.2156","1.4686","-0.7769","0.3748","17.6055","20.651","20.9762","22.865","8.8958","8.0751","5.9923","3.6498","8.0965","11.1081","11.7878","17.9809","19.7624","21.6963","22.2727","17.9573","19.6075","13.7677","10.9857","5.9296","-5.0178","-6.8503","-5.5476","-2.7002","-1.827","-2.4442","-4.026","-5.51","-4.5661","-6.1987","-6.58","-8.235","-7.9541","-8.2179","-7.9345","-5.9753","-6.604","-5.2059","-6.2228","-6.629","-7.0516","-7.8445","-7.7063","-7.376","-4.9455","-3.03","-0.8461","-0.0802","0.5335","0.5863","-0.8999","0.0138","-1.2689","0.0369","2.0264","1.8442","2.6397","0.6181","-0.5982","0.0671","1.1133","2.432","3.4578","2.4103","0.7421","3.8472","2.4349","1.6208","2.34","-2.0043","-3.0743",""
"Q:Quarterly","CZ:Czech Republic","N:Nominal","628:Index, 2010 = 100",,,,"Q:CZ:N:628","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102.074","106.2746","107.8498","107.2197","104.9094","101.549","100.7088","99.9737","99.9737","100.1838","99.8687","99.9737","100.1838","100.7088","100.0788","99.1336","98.6086","98.7136","98.5035","98.3985","98.2935","98.8186","98.7136","98.5035","99.7637","100.6038","101.4439","102.179","103.2292","104.3844","105.6445","106.7997","108.1649","110.3702","113.1006","118.4563","122.0268","125.0722","127.2775","128.4327","131.268","135.1536","138.514","141.1394","144.0798","147.6503","150.5907","153.7411","156.4715","159.0969","163.1924","167.498","177.3694","186.5056","199.3174","210.659"
"Q:Quarterly","CZ:Czech Republic","N:Nominal","771:Year-on-year changes, in per cent",,,,"Q:CZ:N:771","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.7778","-4.4466","-6.6212","-6.7581","-4.7047","-1.3444","-0.8342","0","0.2102","0.524","0.2104","-0.8403","-1.5723","-1.9812","-1.5741","-0.7415","-0.3195","0.1064","0.2133","0.1067","1.4957","1.8065","2.7659","3.7313","3.4737","3.7579","4.1408","4.5222","4.7813","5.7344","7.0577","10.9145","12.8155","13.3206","12.5348","8.422","7.5731","8.0605","8.8283","9.8937","9.76","9.2463","8.7188","8.9285","8.6006","7.7525","8.3682","8.9481","13.3557","17.2277","22.1364","25.7681"
"Q:Quarterly","CZ:Czech Republic","R:Real","628:Index, 2010 = 100",,,,"Q:CZ:R:628","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105.4173","108.949","109.7975","109.8372","106.1072","102.6712","102.4154","101.9279","100.4597","100.0225","99.6366","99.8842","98.9253","98.8143","98.0927","96.7584","93.9458","93.694","93.4945","93.3631","91.9812","92.3796","92.5295","92.3946","93.2007","93.8913","94.5173","95.4252","96.3415","96.7723","98.0709","99.6404","100.4774","102.0503","104.4365","108.9134","110.6649","113.1326","114.6072","115.0904","116.8804","119.5392","121.8163","123.891","124.9005","127.0093","128.7843","130.9968","130.9246","132.7234","135.09","139.0667","145.2316","151.2039","158.4602","164.8007"
"Q:Quarterly","CZ:Czech Republic","R:Real","771:Year-on-year changes, in per cent",,,,"Q:CZ:R:771","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.6544","-5.7622","-6.7233","-7.201","-5.3224","-2.5798","-2.7133","-2.005","-1.5274","-1.2079","-1.5495","-3.1294","-5.0335","-5.1818","-4.6876","-3.509","-2.0913","-1.4028","-1.0322","-1.0373","1.3258","1.6363","2.1483","3.28","3.3699","3.0685","3.7598","4.4173","4.293","5.4541","6.4909","9.3065","10.139","10.8596","9.7386","5.6714","5.6165","5.6629","6.2903","7.6467","6.8618","6.2491","5.7201","5.7356","4.8232","4.499","4.8963","6.1604","10.9276","13.9241","17.2997","18.5047"
"Q:Quarterly","DE:Germany","N:Nominal","628:Index, 2010 = 100",,,,"Q:DE:N:628","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.6187","39.315","39.7142","40.2131","41.5103","43.506","44.1047","44.2045","45.1025","46.2002","46.6991","46.9984","47.6969","49.8922","50.3911","50.3911","51.4887","53.5842","54.0831","53.7838","53.988","54.6445","54.6865","54.6143","54.7118","55.4874","55.8761","56.6529","57.2547","58.4467","59.3291","60.0702","61.144","62.5534","63.8175","64.7703","66.0535","68.4337","69.821","70.3591","71.6589","73.3817","74.3549","75.6989","77.0321","79.2917","79.8995","79.6541","79.6662","79.7649","79.7468","79.5383","79.5845","80.1391","80.2682","79.5199","78.7766","78.377","77.9141","77.6581","77.4886","77.2354","77.3997","77.395","77.475","77.8939","77.7089","77.2412","76.8641","76.8289","76.7918","77.0329","77.2732","78.0209","78.5717","78.8397","79.3607","80.0506","81.1912","82.4731","84.6756","86.9573","88.1299","88.4914","89.3617","91.0794","91.8875","92.731","94.1656","95.6831","96.7919","97.2348","98.5226","99.7247","100.6184","101.3908","102.4937","103.9313","104.5507","104.4847","104.76","105.2059","104.9265","104.5976","104.101","103.691","103.3547","102.7528","102.3242","101.8127","101.5257","101.0453","100.6521","100.7683","100.6227","100.6508","100.593","100.7041","100.8276","100.9638","101.1839","101.4033","101.4621","101.4416","101.4213","101.4012","101.3078","100.9669","100.882","100.798","100.5349","100.0877","99.8138","99.4571","99.0007","98.4402","97.9675","98.1755","97.8513","97.5062","97.4199","96.9124","96.7614","96.8125","95.8","97.3","98.1","97.1","96.6","96.5","97.1","97.3","99.4","100.3","99.9","100.6","100.3","99","99","99.4","98.6","99.8","100.6","101","101.5","101.9","103.1","103.2","104.1","105.4","105.8","106.6","107.4","108.6","109.6","109.1","109.9","112.1","112.7","112.7","114.6","117","117.6","119.3","121.7","125.2","127.5","129.3","129.9","132.5","134.7","137.4","138.6","141.3","144.2","146","146","149.7","151.8","155.5","156.8","159.6","164.4","169.1","170.7","176.8","184.1","189.7"
"Q:Quarterly","DE:Germany","N:Nominal","771:Year-on-year changes, in per cent",,,,"Q:DE:N:771","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.3448","10.6599","11.0553","9.9256","8.6538","6.1927","5.8824","6.3205","5.7522","7.9914","7.906","7.2187","7.9498","7.4","7.3267","6.7327","4.854","1.9787","1.1156","1.5441","1.3407","1.5426","2.1753","3.7329","4.6479","5.3332","6.1798","6.032","6.7929","7.0265","7.5652","7.8243","8.0295","9.4003","9.4074","8.6287","8.4862","7.2303","6.4935","7.5893","7.4983","8.0538","7.4569","5.2248","3.4194","0.5968","-0.1911","-0.1453","-0.1026","0.4692","0.6538","-0.0232","-1.0152","-2.1988","-2.9327","-2.3414","-1.6349","-1.4566","-0.6602","-0.3388","-0.0176","0.8525","0.3994","-0.1988","-0.7885","-1.3673","-1.1801","-0.2697","0.5323","1.5516","2.3179","2.3455","2.7015","2.6015","3.3339","4.6085","6.6971","8.6279","8.5461","7.2973","5.5341","4.7403","4.2638","4.7909","5.3758","5.0547","5.3374","4.8568","4.6269","4.2239","3.9532","4.2742","4.0307","4.2182","3.9082","3.0515","2.2111","1.2264","0.3594","0.108","-0.629","-1.44","-1.498","-1.7637","-1.7068","-1.8114","-1.7696","-1.6618","-1.6342","-1.0258","-0.8894","-0.3904","-0.0586","-0.0637","0.2037","0.3109","0.5874","0.6943","0.6292","0.4733","0.2347","-0.002","-0.152","-0.468","-0.5318","-0.5949","-0.7629","-0.8708","-1.0589","-1.3302","-1.526","-1.646","-1.8497","-1.2886","-1.161","-0.9488","-0.5589","-1.2865","-1.1139","-0.7115","-1.6628","0.3999","1.3834","0.297","0.8351","-0.8222","-1.0194","0.206","2.8986","3.9378","2.8836","3.3916","0.9054","-1.2961","-0.9009","-1.1928","-1.6949","0.8081","1.6162","1.6097","2.9412","2.1042","2.4851","2.1782","2.5616","3.4347","2.6188","3.2946","3.17","3.0361","3.5917","2.3452","2.3277","3.2228","2.8285","3.2997","4.2766","4.3711","4.3478","5.8563","6.1955","7.0085","8.4184","8.3822","6.7379","5.8307","5.6471","6.2645","6.6975","6.6415","7.0527","6.2591","5.3391","5.9448","5.2705","6.5068","7.3973","6.6132","8.3004","8.746","8.8648","10.7769","11.983","12.1821"
"Q:Quarterly","DE:Germany","R:Real","628:Index, 2010 = 100",,,,"Q:DE:R:628","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","118.9766","123.2468","124.3157","124.6899","125.7019","129.8132","130.506","129.7232","129.6866","131.4276","131.0151","129.8094","128.824","132.1633","132.1739","129.7056","129.4125","132.5737","132.5798","130.0552","128.1556","127.2398","126.3735","125.2582","123.4281","123.8698","124.4124","125.2934","124.4345","125.6825","127.196","128.3983","129.0154","130.7625","133.4701","135.0663","135.4289","138.5143","139.5376","139.3099","139.2381","140.226","141.2644","142.5503","141.567","143.1943","142.3071","140.0025","138.2608","136.7106","135.1615","133.5895","132.7279","132.9782","131.9116","130.0318","127.7407","126.4689","125.6745","124.4161","122.8092","121.8205","122.3054","122.0722","121.8835","122.8591","123.204","122.9643","121.5489","121.1345","121.1208","121.4562","121.0312","121.6228","122.3475","122.2302","121.3646","121.291","122.9756","124.1251","126.0635","128.7874","129.9384","129.2671","129.7855","131.1229","130.2089","128.9223","129.1833","129.864","130.6084","130.7644","129.2041","129.6259","129.8223","130.6983","130.4964","131.37","131.6177","131.5938","130.6464","130.7363","129.9272","129.7497","127.9985","127.0476","126.3036","125.5133","123.6399","122.8627","121.2608","120.8418","120.1148","119.9975","119.5188","119.9597","119.8398","119.261","118.9039","119.1147","118.6736","118.7815","118.0594","117.6929","116.9418","115.8206","115.5252","115.1834","114.0631","113.6924","113.3043","112.8912","111.5478","111.2381","110.4186","109.706","108.4446","107.7792","107.213","106.5427","106.0755","105.1545","104.3028","104.0771","102.5944","103.6058","104.1405","103.0789","101.6225","100.7219","100.8214","100.137","101.5881","101.7274","100.6285","101.9208","101.6905","100.1909","99.9739","100.2693","99.1405","99.8446","100.5012","100.506","100.1838","99.9438","100.7323","100.479","100.6198","101.5255","101.3524","101.7703","102.2548","103.0116","103.3295","102.7888","103.3337","105.1901","105.3291","105.6114","107.7891","108.7303","109.0705","111.3115","114.1218","116.1963","117.6672","119.4072","119.8426","121.2416","122.4138","125.1114","126.2041","127.0905","128.6235","130.3538","131.1492","132.3896","133.4452","137.1287","138.581","140.0819","144.658","149.499","148.8437","151.7036","155.9109","159.6865"
"Q:Quarterly","DE:Germany","R:Real","771:Year-on-year changes, in per cent",,,,"Q:DE:R:771","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.6526","5.3278","4.9795","4.0367","3.17","1.2436","0.3901","0.0664","-0.6651","0.5598","0.8845","-0.0799","0.4568","0.3105","0.3071","0.2695","-0.9713","-4.0233","-4.6812","-3.6884","-3.6888","-2.6485","-1.5518","0.0281","0.8154","1.4634","2.2374","2.4781","3.6814","4.042","4.9326","5.1932","4.9711","5.9281","4.546","3.1419","2.8127","1.2358","1.2375","2.326","1.6726","2.1168","0.7381","-1.7873","-2.3354","-4.5279","-5.0212","-4.5806","-4.0017","-2.7302","-2.4045","-2.6632","-3.7575","-4.895","-4.7282","-4.3187","-3.8605","-3.6755","-2.6808","-1.8839","-0.7538","0.8525","0.7347","0.7308","-0.2745","-1.4037","-1.6908","-1.2265","-0.4259","0.4031","1.0128","0.6373","0.2755","-0.2728","0.5133","1.5502","3.8717","6.1805","5.662","4.1426","2.9525","1.8135","0.2081","-0.2667","-0.464","-0.9601","0.3069","1.4288","0.0161","-0.1833","-0.6019","-0.0505","1.0002","1.3455","1.383","0.6852","0.1149","-0.4824","-1.2844","-1.4014","-2.0268","-2.8215","-2.789","-3.2651","-3.4052","-3.294","-3.9926","-3.7219","-2.8511","-2.332","-1.4365","-0.7299","-0.2289","-0.6138","-0.5145","-0.7044","-0.9731","-0.4021","-0.7103","-1.1936","-1.4593","-2.4928","-2.1466","-2.1322","-2.4617","-1.8375","-1.9224","-1.99","-2.2052","-2.1587","-2.5469","-2.8215","-2.7819","-3.1095","-2.9032","-2.8834","-2.1847","-2.4352","-2.7144","-2.3142","-3.2817","-1.4728","-0.1556","-0.9591","-0.9473","-2.7836","-3.1871","-2.854","-0.0339","0.9983","-0.1914","1.7813","0.1008","-1.5104","-0.6505","-1.6204","-2.5076","-0.3457","0.5274","0.2361","1.0523","0.0994","0.2299","-0.0268","0.4352","1.5826","0.6156","1.2851","1.6249","1.4638","1.9507","1.0008","1.0551","2.1148","1.9352","2.746","4.3117","3.3655","3.5521","5.3972","5.8751","6.8665","7.8818","7.273","5.0129","4.342","4.0339","4.7771","5.3082","4.8241","5.0728","4.1902","3.9183","4.1696","3.7486","5.1973","5.6667","5.8104","8.4026","9.0209","7.4056","8.2964","7.7789","6.8144"
"Q:Quarterly","DK:Denmark","N:Nominal","628:Index, 2010 = 100",,,,"Q:DK:N:628","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.7176","7.7176","7.7176","7.7176","8.4084","8.4798","8.726","9.1786","9.7066","10.1631","10.2306","10.6871","11.1794","11.493","12.0528","12.3704","12.3704","11.9496","12.0885","12.9659","13.8393","14.3316","14.9985","15.0303","15.4868","15.6615","15.9791","16.6421","16.7135","17.7656","18.4325","19.3774","20.0443","20.8503","21.3743","21.5847","22.1087","23.125","23.4784","23.4426","23.0218","22.3191","22.7042","22.74","22.601","21.6879","20.9177","21.3028","21.1282","21.3028","20.8145","21.3028","23.125","26.035","26.3844","27.1546","28.6989","29.2944","29.608","30.9379","32.1647","33.6375","36.0195","36.8968","39.0009","39.1399","38.1236","38.6833","36.1267","36.0552","35.8091","35.4597","35.952","35.8448","36.5118","36.7897","36.4403","36.5118","35.8091","35.285","33.6732","33.8122","32.9706","32.7601","33.4271","33.8479","33.709","33.9551","33.7248","33.7248","33.0817","32.2282","31.8034","31.589","33.0817","35.0032","37.0318","37.0318","36.4999","37.0318","37.8854","39.2709","40.2316","41.4067","42.0459","43.1138","44.3961","46.2104","47.3815","48.6638","49.7317","50.2637","51.2244","53.3603","54.1066","54.9602","55.8137","56.6673","57.7352","57.8424","58.6959","60.2958","61.6853","62.2173","63.3924","64.2459","64.9923","64.4603","65.4171","66.6994","67.1281","67.1281","66.9608","68.3949","69.6084","69.829","72.1456","75.3447","77.7716","79.647","83.2874","87.6999","94.4291","100.6067","107.7772","114.2857","116.6023","115.3889","115.8301","117.3745","117.5951","115.3889","113.8445","114.2857","111.3072","102.5924","96.0838","97.2973","98.0695","97.6282","98.2901","100.3861","101.1583","100.1655","99.1726","101.3789","98.0695","94.5394","94.5394","95.9735","96.3045","95.8632","97.0767","100.6067","100.6067","99.1726","100.6067","104.4677","103.9162","103.4749","107.3359","110.9763","111.4175","111.4175","113.6238","116.492","118.0364","116.1611","118.6983","121.8974","123.5521","121.2355","124.4346","127.5234","128.075","125.2068","127.9647","130.9432","131.1638","128.406","130.6122","132.8185","139.2168","142.3056","148.9244","153.2267","154.8814","148.1522"
